Opportunity_ID,Company,Industry,Region,Stage,Amount,Source,Rep,Created_Date,Close_Date,Days_Open,Closed_Won,Next_Step
OPP-0001,Queen City Dental 1,Healthcare,West,Proposal,6000,Organic Search,Preston,2026-03-12,,34,No,Needs budget approval
OPP-0002,Northstar Manufacturing 2,IT Services,West,Prospecting,14500,Cold Call,Maya,2026-02-25,,32,No,Confirm decision timeline
OPP-0003,Apex Remodeling 3,Finance,Northeast,Demo Scheduled,38500,Web Form,Sarah,2026-01-02,,23,No,Demo completed
OPP-0004,Elite HVAC 4,Home Services,West,Prospecting,51500,Partner,Preston,2026-01-25,,48,No,Needs budget approval
OPP-0005,Smith Plumbing 5,Construction,Northeast,Prospecting,40500,Partner,John,2026-06-10,,82,No,Send proposal
OPP-0006,Prime Medical Billing 6,Legal,Midwest,Closed Won,15500,Event,John,2026-04-08,2026-05-16,38,Yes,Confirm decision timeline
OPP-0007,Northstar Manufacturing 7,IT Services,Northeast,Negotiation,12000,Google Ads,Maya,2026-06-05,,84,No,Needs budget approval
OPP-0008,Elite HVAC 8,IT Services,Southeast,Discovery,74000,Partner,John,2026-02-26,,90,No,Needs budget approval
OPP-0009,Ironclad Security 9,Home Services,Northeast,Negotiation,30000,Partner,John,2026-05-26,,94,No,Follow up on pricing
OPP-0010,Lakeview Insurance 10,Manufacturing,Midwest,Discovery,74500,Web Form,Sarah,2026-05-18,,36,No,Follow up on pricing
OPP-0011,Metro IT Services 11,Manufacturing,West,Proposal,14500,Google Ads,Preston,2026-01-13,,17,No,Needs budget approval
OPP-0012,Blue Ridge SaaS 12,Finance,Midwest,Demo Scheduled,62500,Cold Call,Preston,2026-05-16,,35,No,Legal review
OPP-0013,BrightPath Finance 13,Legal,West,Demo Scheduled,61000,LinkedIn,Preston,2026-01-01,,95,No,Legal review
OPP-0014,Prime Medical Billing 14,Legal,West,Closed Won,67500,Google Ads,Chris,2026-06-05,2026-07-03,28,Yes,Book discovery call
OPP-0015,Carolina Solar 15,IT Services,Southeast,Proposal,65500,Partner,Sarah,2026-01-05,,17,No,Send proposal
OPP-0016,Queen City Dental 16,Home Services,West,Prospecting,65000,Google Ads,Sarah,2026-01-18,,71,No,Legal review
OPP-0017,Carolina Solar 17,Manufacturing,Midwest,Proposal,57000,Organic Search,Maya,2026-02-24,,72,No,No response yet
OPP-0018,Lakeview Insurance 18,IT Services,West,Prospecting,31500,Cold Call,Sarah,2026-01-17,,46,No,Book discovery call
OPP-0019,Apex Remodeling 19,Healthcare,West,Prospecting,10500,Cold Call,Sarah,2026-02-28,,11,No,Legal review
OPP-0020,Piedmont Flooring 20,Home Services,Southwest,Negotiation,30000,Event,Sarah,2026-05-19,,19,No,Send proposal
OPP-0021,Redline Construction 21,Construction,Southeast,Prospecting,58000,Web Form,Preston,2026-04-01,,57,No,Needs budget approval
OPP-0022,Northstar Manufacturing 22,Home Services,Northeast,Negotiation,16500,Organic Search,Maya,2026-03-05,,27,No,Follow up on pricing
OPP-0023,ABC Roofing 23,Healthcare,Northeast,Closed Won,34500,Referral,Sarah,2026-01-20,,59,Yes,Needs budget approval
OPP-0024,Ironclad Security 24,Construction,Southwest,Demo Scheduled,30000,Google Ads,John,2026-04-13,,10,No,No response yet
OPP-0025,Carolina Solar 25,IT Services,Southeast,Discovery,74000,Organic Search,Chris,2026-05-05,,22,No,Book discovery call
OPP-0026,BrightPath Finance 26,Legal,Southeast,Negotiation,10000,Event,Chris,2026-01-13,,77,No,Send proposal
OPP-0027,Ironclad Security 27,Healthcare,West,Closed Won,11500,Organic Search,Sarah,2026-06-02,2026-06-13,11,Yes,Book discovery call
OPP-0028,Summit Logistics 28,Real Estate,Northeast,Proposal,56500,Partner,John,2026-05-30,,75,No,Needs budget approval
OPP-0029,Lakeview Insurance 29,Healthcare,Southeast,Closed Won,41000,Referral,Chris,2026-04-28,,43,Yes,Confirm decision timeline
OPP-0030,Prime Medical Billing 30,Finance,Northeast,Proposal,19500,Organic Search,Maya,2026-03-31,,11,No,Legal review
OPP-0031,Blue Ridge SaaS 31,Legal,Midwest,Proposal,70500,LinkedIn,Preston,2026-01-03,,88,No,Send proposal
OPP-0032,Apex Remodeling 32,IT Services,Midwest,Negotiation,22500,Organic Search,Chris,2026-03-11,,39,No,No response yet
OPP-0033,Oak Street Legal 33,Construction,Southeast,Discovery,9500,Web Form,John,2026-01-24,,84,No,Follow up on pricing
OPP-0034,Northstar Manufacturing 34,Construction,Southeast,Proposal,36500,Web Form,Preston,2026-02-11,,59,No,Follow up on pricing
OPP-0035,Greenway Landscaping 35,Legal,Southeast,Proposal,50000,Google Ads,John,2026-05-30,,73,No,Demo completed
OPP-0036,Blue Ridge SaaS 36,Real Estate,West,Closed Won,8000,Organic Search,Maya,2026-04-02,2026-05-01,29,Yes,Follow up on pricing
OPP-0037,ABC Roofing 37,Legal,Midwest,Closed Lost,33000,Web Form,Maya,2026-02-11,2026-03-08,25,No,Confirm decision timeline
OPP-0038,Piedmont Flooring 38,IT Services,Southwest,Discovery,16500,Event,John,2026-04-08,,7,No,Legal review
OPP-0039,Ironclad Security 39,Real Estate,Midwest,Closed Won,32000,Organic Search,Preston,2026-02-27,2026-03-05,6,Yes,Legal review
OPP-0040,Blue Ridge SaaS 40,Finance,Northeast,Discovery,68000,Partner,Chris,2026-04-13,,89,No,Legal review
OPP-0041,Crown Auto Group 41,Healthcare,Southwest,Prospecting,58500,Web Form,Chris,2026-03-30,,43,No,Confirm decision timeline
OPP-0042,Prime Medical Billing 42,Manufacturing,Southeast,Discovery,58500,Organic Search,John,2026-01-01,,69,No,Demo completed
OPP-0043,Greenway Landscaping 43,Real Estate,Southwest,Negotiation,18500,LinkedIn,John,2026-03-18,,67,No,Follow up on pricing
OPP-0044,Ironclad Security 44,Construction,Midwest,Discovery,51500,LinkedIn,John,2026-02-14,,81,No,Confirm decision timeline
OPP-0045,Summit Logistics 45,Home Services,Northeast,Demo Scheduled,44000,Event,Preston,2026-04-30,,59,No,Legal review
OPP-0046,Piedmont Flooring 46,IT Services,Northeast,Proposal,45500,LinkedIn,Preston,2026-01-24,,33,No,Book discovery call
OPP-0047,Greenway Landscaping 47,IT Services,Southwest,Discovery,63500,Event,Maya,2026-06-06,,12,No,Needs budget approval
